1	1	1	201	3
2	1	1	202	2
3	1	1	203	1
4	1	1	204	3
5	1	1	205	2
6	1	1	206	1
7	1	1	207	3
8	1	1	208	2
9	2	1	301	1
10	2	1	302	3
11	2	1	303	2
12	2	1	304	1
13	2	1	305	3
14	2	1	306	2
15	2	1	307	1
16	2	1	308	3
17	3	1	401	2
18	3	1	402	1
19	3	1	403	3
20	3	1	404	2
21	3	1	405	1
22	3	1	406	3
23	3	1	407	2
24	3	1	408	1
25	4	1	501	3
26	4	1	502	2
27	4	1	503	1
28	4	1	504	3
29	4	1	505	2
30	4	1	506	1
31	5	1	601	3
32	5	1	602	2
33	5	1	603	1
34	5	1	604	3
35	5	1	605	2
36	5	1	606	1
37	6	1	701	3
38	6	1	702	2
39	6	1	703	1
40	6	1	704	3
41	7	1	801	2
42	7	1	802	1
43	1	2	201	3
44	1	2	202	2
45	1	2	203	1
46	1	2	204	3
47	1	2	205	2
48	1	2	206	1
49	1	2	207	3
50	2	2	301	2
51	2	2	302	1
52	2	2	303	3
53	2	2	304	2
54	2	2	305	1
55	2	2	306	3
56	2	2	307	2
57	3	2	401	1
58	3	2	402	3
59	3	2	403	2
60	3	2	404	1
61	3	2	405	3
62	3	2	406	2
63	3	2	407	1
64	4	2	501	3
65	4	2	502	2
66	4	2	503	1
67	4	2	504	3
68	4	2	505	2
69	5	2	601	1
70	5	2	602	3
71	5	2	603	2
72	5	2	604	1
73	5	2	605	3
74	6	2	701	2
75	6	2	702	1
76	6	2	703	3
77	6	2	704	2
78	7	2	801	1
79	7	2	802	3
80	7	2	803	2
81	1	3	201	1
82	1	3	202	3
83	1	3	203	2
84	1	3	204	1
85	1	3	205	3
86	1	3	206	2
87	1	3	207	1
88	1	3	208	3
89	2	3	301	2
90	2	3	302	1
91	2	3	303	3
92	2	3	304	2
93	2	3	305	1
94	2	3	306	3
95	2	3	307	2
96	2	3	308	1
97	3	3	401	3
98	3	3	402	2
99	3	3	403	1
100	3	3	404	3
101	3	3	405	2
102	3	3	406	1
103	3	3	407	3
104	3	3	408	2
105	4	3	501	1
106	4	3	502	3
107	4	3	503	2
108	4	3	504	1
109	4	3	505	3
110	4	3	506	2
111	5	3	601	1
112	5	3	602	3
113	5	3	603	2
114	5	3	604	1
115	5	3	605	3
116	6	3	701	2
117	6	3	702	1
118	6	3	703	3
119	6	3	704	2
120	7	3	801	1
121	7	3	802	3
122	1	4	201	2
123	1	4	202	1
124	1	4	203	3
125	1	4	204	2
126	1	4	205	1
127	1	4	206	3
128	2	4	301	2
129	2	4	302	1
130	2	4	303	3
131	2	4	304	2
132	2	4	305	1
133	2	4	306	3
134	3	4	401	2
135	3	4	402	1
136	3	4	403	3
137	3	4	404	2
138	3	4	405	1
139	3	4	406	3
140	4	4	501	2
141	4	4	502	1
142	4	4	503	3
143	4	4	504	2
144	4	4	505	1
145	5	4	601	3
146	5	4	602	2
147	5	4	603	1
148	5	4	604	3
149	5	4	605	2
150	6	4	701	1
151	6	4	702	3
152	6	4	703	2
153	7	4	801	1
154	1	5	201	3
155	1	5	202	2
156	1	5	203	1
157	1	5	204	3
158	1	5	205	2
159	1	5	206	1
160	1	5	207	3
161	2	5	301	2
162	2	5	302	1
163	2	5	303	3
164	2	5	304	2
165	2	5	305	1
166	2	5	306	3
167	2	5	307	2
168	3	5	401	1
169	3	5	402	3
170	3	5	403	2
171	3	5	404	1
172	3	5	405	3
173	3	5	406	2
174	3	5	407	1
175	4	5	501	3
176	4	5	502	2
177	4	5	503	1
178	4	5	504	3
179	4	5	505	2
180	5	5	601	1
181	5	5	602	3
182	5	5	603	2
183	5	5	604	1
184	5	5	605	3
185	6	5	701	2
186	6	5	702	1
187	6	5	703	3
188	7	5	801	2
189	7	5	801	1
190	1	6	201	3
191	1	6	202	2
192	1	6	203	1
193	1	6	204	3
194	1	6	205	2
195	1	6	206	1
196	2	6	301	3
197	2	6	302	2
198	2	6	303	1
199	2	6	304	3
200	2	6	305	2
201	2	6	306	1
202	3	6	401	3
203	3	6	402	2
204	3	6	403	1
205	3	6	404	3
206	3	6	405	2
207	3	6	406	1
208	4	6	501	3
209	4	6	502	2
210	4	6	503	1
211	4	6	504	3
212	5	6	601	2
213	5	6	602	1
214	5	6	603	3
215	5	6	604	2
216	6	6	701	1
217	6	6	702	3
218	7	6	801	2
219	1	7	201	1
220	1	7	202	3
221	1	7	203	2
222	1	7	204	1
223	1	7	205	3
224	1	7	206	2
225	1	7	207	1
226	1	7	208	3
227	2	7	301	2
228	2	7	302	1
229	2	7	303	3
230	2	7	304	2
231	2	7	305	1
232	2	7	306	3
233	2	7	307	2
234	2	7	308	1
235	3	7	401	3
236	3	7	402	2
237	3	7	403	1
238	3	7	404	3
239	3	7	405	2
240	3	7	406	1
241	3	7	407	3
242	3	7	408	2
243	4	7	501	1
244	4	7	502	3
245	4	7	503	2
246	4	7	504	1
247	4	7	505	3
248	4	7	506	2
249	5	7	601	1
250	5	7	602	3
251	5	7	603	2
252	5	7	604	1
253	5	7	605	3
254	5	7	606	2
255	6	7	701	1
256	6	7	702	3
257	6	7	703	2
258	6	7	704	1
259	7	7	801	3
260	7	7	802	2
