1	2017-05-11	1	9	1,3,5,7	0xff6666ff	2170000	25800000	24개월	6.10%	1144635	3
2	2017-05-11	6	3	2,4,6	0x000000ff	1650000	39600000	18개월	5.90%	2304186	5
3	2017-05-11	7	8	2,3	0x666666ff	1320000	38930000	12개월	6.10%	3352356	3
4	2017-05-11	6	5	1,3,5	0xff0000ff	1020000	20950000	12개월	6.50%	1807910	2
5	2017-05-11	9	10	3,5	0x0000ffff	420000	29160000	36개월	6.90%	899044	5
6	2017-05-11	1	12	4,6	0xe6e64dff	650000	36550000	24개월	6.30%	1624864	1
7	2017-05-11	2	7	5,6,7	0x1a0068ff	1450000	33300000	12개월	6.90%	2879806	3
8	2017-05-11	7	14	3,4,5	0xffffffff	870000	50540000	24개월	5.90%	2237687	4
9	2017-05-12	5	1	3,6	0xe6e6e6ff	520000	38800000	18개월	5.90%	2257637	2
10	2017-05-12	4	15	1,2,6	0x005000ff	1800000	24600000	18개월	5.90%	1431388	2
11	2017-05-12	2	1	1,2,3,4,5	0x1a3399ff	3820000	38800000	18개월	5.50%	2250628	2
12	2017-05-12	8	2	1,4,7	0x000000ff	2200000	24200000	36개월	5.90%	735115	3
13	2017-05-12	10	4	2,4,6	0x666666ff	1650000	38200000	24개월	6.70%	1705122	2
14	2017-05-13	6	6	4,6,7	0xff0000ff	1800000	31900000	30개월	5.50%	1140543	3
15	2017-05-13	1	12	3,4,5,6	0x0000ffff	1070000	36550000	30개월	6.10%	1316679	2
16	2017-05-13	8	13	3,5,7	0x0000ffff	1570000	37650000	24개월	5.50%	1660201	1
17	2017-05-13	5	15	1,2,6,7	0xe6e64dff	2950000	24600000	24개월	6.50%	1095838	5
18	2017-05-13	5	14	3,4,5	0x1a0068ff	870000	50540000	6개월	4.50%	8534234	1
19	2017-05-14	5	5	4,6	0xffffffff	650000	20950000	30개월	6.10%	754704	4
20	2017-05-14	3	8	6,7	0xe6e6e6ff	200000	38930000	18개월	6.10%	2268722	5
21	2017-05-14	4	2	4,6,7	0xe6e6e6ff	1800000	24200000	36개월	6.90%	746120	2
22	2017-05-14	1	2	1,3,5	0x005000ff	1020000	24200000	24개월	6.30%	1075833	5
23	2017-05-14	6	3	3,4,5	0x1a3399ff	870000	39600000	18개월	5.70%	2300608	5
24	2017-05-14	2	4	1,7	0x000000ff	1750000	38200000	6개월	4.50%	6450490	3
25	2017-05-14	10	5	1,3,5,7	0x666666ff	2170000	20950000	24개월	5.30%	921923	3
26	2017-05-14	1	6	2,5,7	0x0000ffff	2250000	31900000	18개월	6.90%	1870602	4
27	2017-05-15	5	7	3,5	0xe6e64dff	420000	33300000	30개월	6.30%	1202611	5
28	2017-05-15	3	8	3,6	0x1a0068ff	520000	38930000	18개월	4.70%	2244142	2
29	2017-05-15	9	9	1,6	0xffffffff	800000	25800000	18개월	6.50%	1508219	1
30	2017-05-15	8	10	2	0xe6e6e6ff	1000000	29160000	36개월	6.30%	891073	2
31	2017-05-15	3	11	3,6	0x4d4d4dff	520000	30900000	6개월	5.90%	5238985	3
32	2017-05-15	7	9	1,3,5	0xff6666ff	2170000	25800000	24개월	6.10%	1144635	1
33	2017-05-15	3	3	2,4,6,7	0x000000ff	1650000	39600000	18개월	5.90%	2304186	4
34	2017-05-15	1	8	1,2,3	0x1a3399ff	1320000	38930000	12개월	6.10%	3352356	1
35	2017-05-15	1	5	1,3,5	0x000000ff	1020000	20950000	12개월	6.50%	1807910	2
36	2017-05-15	4	10	3,5	0x666666ff	420000	29160000	36개월	6.90%	899044	4
37	2017-05-16	8	12	4,6	0x0000ffff	650000	36550000	24개월	6.30%	1624864	3
38	2017-05-16	3	7	5,6,7	0xe6e64dff	1450000	33300000	12개월	6.90%	2879806	1
39	2017-05-16	3	14	3,4,5	0x1a0068ff	870000	50540000	24개월	5.90%	2237687	5
40	2017-05-16	5	1	3,6	0xe6e6e6ff	520000	38800000	18개월	5.90%	2257637	3
41	2017-05-16	3	15	1,2,6	0x005000ff	1800000	24600000	18개월	5.90%	1431388	1
42	2017-05-16	4	1	1,2,3,4,5,6,7	0x1a3399ff	3820000	38800000	18개월	5.50%	2250628	3
43	2017-05-16	1	2	1,4,7	0x4d1a4dff	2200000	24200000	36개월	5.90%	735115	2
44	2017-05-16	5	4	2,4,6	0x4d4d4dff	1650000	38200000	24개월	6.70%	1705122	4
45	2017-05-16	3	6	4,6,7	0xb31a1aff	1800000	31900000	30개월	5.50%	1140543	5
46	2017-05-17	9	12	3,4,5,6	0xccffffff	1070000	36550000	30개월	6.10%	1316679	5
47	2017-05-17	6	13	3,5,7	0x999999ff	1570000	37650000	24개월	5.50%	1660201	1
48	2017-05-17	8	15	1,2,6,7	0x1a0068ff	2950000	24600000	24개월	6.50%	1095838	1
49	2017-05-17	10	14	3,4,5	0xccccccff	870000	50540000	6개월	4.50%	8534234	1
